"year","size","farmStay","habFact","ppue"
37,0.6,3,2,11.631059839057
38,0.6,3,2,11.6309693944825
39,0.6,3,2,11.6308879260191
40,0.6,3,2,11.6308179841262
41,0.6,3,2,11.6307590242156
42,0.6,3,2,11.6307114909581
43,0.6,3,2,11.6306743397957
44,0.6,3,2,11.6306459669049
45,0.6,3,2,11.6306246220713
46,0.6,3,2,11.6306086854864
47,0.6,3,2,11.6305967735822
48,0.6,3,2,11.630587780097
49,0.6,3,2,11.6305808700578
50,0.6,3,2,11.630575439146
2,0.6,3,3,18.1042974803516
3,0.6,3,3,17.71653092808
4,0.6,3,3,17.3434447503972
5,0.6,3,3,16.991315296066
6,0.6,3,3,16.6656571382512
7,0.6,3,3,16.3702117210169
8,0.6,3,3,16.1067267225085
9,0.6,3,3,15.8751848059602
10,0.6,3,3,15.6742239763727
11,0.6,3,3,15.5015913463437
12,0.6,3,3,15.3545385213231
13,0.6,3,3,15.2301271680323
14,0.6,3,3,15.125444338195
15,0.6,3,3,15.0377406616062
16,0.6,3,3,12.002108713323
17,0.6,3,3,11.9255229384616
18,0.6,3,3,11.8420515567476
19,0.6,3,3,11.8110317816513
20,0.6,3,3,11.7904167974127
21,0.6,3,3,11.7831389013038
22,0.6,3,3,11.7791851021889
23,0.6,3,3,11.7781908957415
24,0.6,3,3,11.7786464006727
25,0.6,3,3,11.7802175837552
26,0.6,3,3,11.7823597977479
27,0.6,3,3,11.7847913950535
28,0.6,3,3,11.7872333511688
29,0.6,3,3,11.7895221270951
30,0.6,3,3,11.7915641308451
31,0.6,3,3,11.7933287162618
32,0.6,3,3,11.7948199976041
33,0.6,3,3,11.7960626783284
34,0.6,3,3,11.7970890615187
35,0.6,3,3,11.7979324603882
36,0.6,3,3,11.798623420705
37,0.6,3,3,11.7991884051078
38,0.6,3,3,11.7996495080647
39,0.6,3,3,11.8000247656539
40,0.6,3,3,11.800328601549
41,0.6,3,3,11.8005722571533
42,0.6,3,3,11.8007691456972
43,0.6,3,3,11.8009291098087
44,0.6,3,3,11.8010596407562
45,0.6,3,3,11.8011665107243
46,0.6,3,3,11.8012542295176
47,0.6,3,3,11.8013263451092
48,0.6,3,3,11.8013856838591
49,0.6,3,3,11.8014345308048
50,0.6,3,3,11.8014747460431
2,0.6,3,4,18.1042974803516
3,0.6,3,4,17.71653092808
4,0.6,3,4,17.3434447503972
5,0.6,3,4,16.991315296066
6,0.6,3,4,16.6656571382512
7,0.6,3,4,16.3702117210169
8,0.6,3,4,16.1067267225085
9,0.6,3,4,15.8751848059602
10,0.6,3,4,15.6742239763727
11,0.6,3,4,15.5015913463437
12,0.6,3,4,15.3545385213231
13,0.6,3,4,15.2301271680323
14,0.6,3,4,15.125444338195
15,0.6,3,4,15.0377406616062
16,0.6,3,4,11.3193668410109
17,0.6,3,4,11.1955415364826
