"size","move","farmStay","habFact","ppue"
0.2,0,90,4,13.0510124937385
0.2,0,100,1,14.6224731926826
0.2,0,100,2,14.0420496728084
0.2,0,100,3,12.9006446599779
0.2,0,100,4,12.1313238397106
0.3,0,1,1,14.6283560010192
0.3,0,1,2,13.2341894531968
0.3,0,1,3,12.3909985189987
0.3,0,1,4,12.2069868365858
0.3,0,10,1,14.6294086144392
0.3,0,10,2,12.6589463100017
0.3,0,10,3,12.1635449758644
0.3,0,10,4,11.5600944519358
0.3,0,20,1,14.6295295664734
0.3,0,20,2,13.1059011321901
0.3,0,20,3,13.6413480394771
0.3,0,20,4,12.4329812498696
0.3,0,30,1,14.632224885106
0.3,0,30,2,13.3620236473104
0.3,0,30,3,13.0952584482944
0.3,0,30,4,12.0318319490113
0.3,0,40,1,14.6283572799192
0.3,0,40,2,12.9806227471019
0.3,0,40,3,11.9835197642992
0.3,0,40,4,12.1067226774954
0.3,0,50,1,14.6342037225223
0.3,0,50,2,13.6841680811158
0.3,0,50,3,13.0692923113137
0.3,0,50,4,12.698710597206
0.3,0,60,1,14.6292751274699
0.3,0,60,2,13.5705504134971
0.3,0,60,3,12.887502928623
0.3,0,60,4,12.6265016064708
0.3,0,70,1,14.6243222189541
0.3,0,70,2,12.8200711176218
0.3,0,70,3,11.9782477659497
0.3,0,70,4,11.521318699373
0.3,0,80,1,14.6358742697751
0.3,0,80,2,13.6671905815265
0.3,0,80,3,12.3971760051185
0.3,0,80,4,11.516518478722
0.3,0,90,1,14.6311865913574
0.3,0,90,2,12.8019040396721
0.3,0,90,3,13.0950530975238
0.3,0,90,4,13.5442487762305
0.3,0,100,1,14.6245851442659
0.3,0,100,2,12.6590998883187
0.3,0,100,3,12.2215073489379
0.3,0,100,4,12.4396016436317
0.4,0,1,1,14.6331871290479
0.4,0,1,2,13.4775077464993
0.4,0,1,3,12.1420908372905
0.4,0,1,4,11.2153307282994
0.4,0,10,1,14.6429940101606
0.4,0,10,2,13.1815224942526
0.4,0,10,3,12.563629559446
0.4,0,10,4,11.8002310587538
0.4,0,20,1,14.6428641130665
0.4,0,20,2,13.5441628998096
0.4,0,20,3,11.3585667452885
0.4,0,20,4,10.4060339364158
0.4,0,30,1,14.6387625788008
